"","DateRep","Cases","Deaths","Country"
"55",2020-03-16,5,0,"Afghanistan"
"56",2020-03-17,1,0,"Afghanistan"
"57",2020-03-18,0,0,"Afghanistan"
"58",2020-03-19,0,0,"Afghanistan"
"59",2020-03-20,2,0,"Afghanistan"
"60",2020-03-21,0,0,"Afghanistan"
"61",2020-03-22,16,1,"Afghanistan"
"62",2020-03-23,0,0,"Afghanistan"
"63",2020-03-24,34,0,"Afghanistan"
"64",2020-03-25,10,1,"Afghanistan"
"65",2020-03-26,10,2,"Afghanistan"
"66",2020-03-27,16,0,"Afghanistan"
"67",2020-03-28,0,0,"Afghanistan"
"68",2020-03-29,10,0,"Afghanistan"
"69",2020-03-30,50,0,"Afghanistan"
"70",2020-03-31,4,0,"Afghanistan"
"71",2020-04-01,63,0,"Afghanistan"
"72",2020-04-02,36,2,"Afghanistan"
"73",2020-04-03,8,0,"Afghanistan"
"74",2020-04-04,18,1,"Afghanistan"
"75",2020-04-05,50,0,"Afghanistan"
"76",2020-04-06,18,4,"Afghanistan"
"77",2020-04-07,56,3,"Afghanistan"
"78",2020-04-08,21,0,"Afghanistan"
"79",2020-04-09,40,1,"Afghanistan"
"80",2020-04-10,37,0,"Afghanistan"
"81",2020-04-11,34,3,"Afghanistan"
"82",2020-04-12,52,0,"Afghanistan"
"83",2020-04-13,58,3,"Afghanistan"
"84",2020-04-14,49,2,"Afghanistan"
"85",2020-04-15,70,2,"Afghanistan"
"86",2020-04-16,56,5,"Afghanistan"
"87",2020-04-17,66,0,"Afghanistan"
"88",2020-04-18,27,0,"Afghanistan"
"89",2020-04-19,63,3,"Afghanistan"
"90",2020-04-20,30,3,"Afghanistan"
"91",2020-04-21,66,0,"Afghanistan"
"92",2020-04-22,84,4,"Afghanistan"
"93",2020-04-23,103,2,"Afghanistan"
"94",2020-04-24,72,1,"Afghanistan"
"95",2020-04-25,112,4,"Afghanistan"
"96",2020-04-26,68,3,"Afghanistan"
"97",2020-04-27,172,7,"Afghanistan"
"98",2020-04-28,125,1,"Afghanistan"
"99",2020-04-29,111,2,"Afghanistan"
"100",2020-04-30,232,4,"Afghanistan"
"101",2020-05-01,164,4,"Afghanistan"
"102",2020-05-02,134,4,"Afghanistan"
"103",2020-05-03,235,13,"Afghanistan"
"104",2020-05-04,190,5,"Afghanistan"
"105",2020-05-05,330,5,"Afghanistan"
"106",2020-05-06,168,9,"Afghanistan"
"107",2020-05-07,171,2,"Afghanistan"
"108",2020-05-08,215,3,"Afghanistan"
"109",2020-05-09,255,6,"Afghanistan"
"110",2020-05-10,369,5,"Afghanistan"
"111",2020-05-11,285,2,"Afghanistan"
"112",2020-01-22,0,0,"Albania"
"113",2020-01-23,0,0,"Albania"
"114",2020-01-24,0,0,"Albania"
"115",2020-01-25,0,0,"Albania"
"116",2020-01-26,0,0,"Albania"
"117",2020-01-27,0,0,"Albania"
"118",2020-01-28,0,0,"Albania"
"119",2020-01-29,0,0,"Albania"
"120",2020-01-30,0,0,"Albania"
"121",2020-01-31,0,0,"Albania"
"122",2020-02-01,0,0,"Albania"
"123",2020-02-02,0,0,"Albania"
"124",2020-02-03,0,0,"Albania"
"125",2020-02-04,0,0,"Albania"
"126",2020-02-05,0,0,"Albania"
"127",2020-02-06,0,0,"Albania"
"128",2020-02-07,0,0,"Albania"
"129",2020-02-08,0,0,"Albania"
"130",2020-02-09,0,0,"Albania"
"131",2020-02-10,0,0,"Albania"
"132",2020-02-11,0,0,"Albania"
"133",2020-02-12,0,0,"Albania"
"134",2020-02-13,0,0,"Albania"
"135",2020-02-14,0,0,"Albania"
"136",2020-02-15,0,0,"Albania"
"137",2020-02-16,0,0,"Albania"
"138",2020-02-17,0,0,"Albania"
"139",2020-02-18,0,0,"Albania"
"140",2020-02-19,0,0,"Albania"
"141",2020-02-20,0,0,"Albania"
"142",2020-02-21,0,0,"Albania"
"143",2020-02-22,0,0,"Albania"
"144",2020-02-23,0,0,"Albania"
"145",2020-02-24,0,0,"Albania"
"146",2020-02-25,0,0,"Albania"
"147",2020-02-26,0,0,"Albania"
"148",2020-02-27,0,0,"Albania"
"149",2020-02-28,0,0,"Albania"
"150",2020-02-29,0,0,"Albania"
"151",2020-03-01,0,0,"Albania"
"152",2020-03-02,0,0,"Albania"
"153",2020-03-03,0,0,"Albania"
"154",2020-03-04,0,0,"Albania"
"155",2020-03-05,0,0,"Albania"
"156",2020-03-06,0,0,"Albania"
"157",2020-03-07,0,0,"Albania"
"158",2020-03-08,0,0,"Albania"
"159",2020-03-09,2,0,"Albania"
"160",2020-03-10,8,0,"Albania"
"161",2020-03-11,2,1,"Albania"
"162",2020-03-12,11,0,"Albania"
"163",2020-03-13,10,0,"Albania"
"164",2020-03-14,5,0,"Albania"
"165",2020-03-15,4,0,"Albania"
"166",2020-03-16,9,0,"Albania"
"167",2020-03-17,4,0,"Albania"
"168",2020-03-18,4,1,"Albania"
"169",2020-03-19,5,0,"Albania"
"170",2020-03-20,6,0,"Albania"
"171",2020-03-21,6,0,"Albania"
"172",2020-03-22,13,0,"Albania"
"173",2020-03-23,15,2,"Albania"
"174",2020-03-24,19,1,"Albania"
"175",2020-03-25,23,0,"Albania"
"176",2020-03-26,28,1,"Albania"
"177",2020-03-27,12,2,"Albania"
"178",2020-03-28,11,2,"Albania"
"179",2020-03-29,15,0,"Albania"
"180",2020-03-30,11,1,"Albania"
"181",2020-03-31,20,4,"Albania"
"182",2020-04-01,16,0,"Albania"
"183",2020-04-02,18,1,"Albania"
"184",2020-04-03,27,1,"Albania"
"185",2020-04-04,29,3,"Albania"
"186",2020-04-05,28,0,"Albania"
"187",2020-04-06,16,1,"Albania"
"188",2020-04-07,6,1,"Albania"
"189",2020-04-08,17,0,"Albania"
"190",2020-04-09,9,1,"Albania"
"191",2020-04-10,7,0,"Albania"
"192",2020-04-11,17,0,"Albania"
"193",2020-04-12,13,0,"Albania"
"194",2020-04-13,21,0,"Albania"
"195",2020-04-14,8,1,"Albania"
"196",2020-04-15,19,1,"Albania"
"197",2020-04-16,24,1,"Albania"
"198",2020-04-17,21,0,"Albania"
"199",2020-04-18,9,0,"Albania"
"200",2020-04-19,14,0,"Albania"
"201",2020-04-20,22,0,"Albania"
"202",2020-04-21,25,0,"Albania"
"203",2020-04-22,25,1,"Albania"
"204",2020-04-23,29,0,"Albania"
"205",2020-04-24,15,0,"Albania"
"206",2020-04-25,34,0,"Albania"
"207",2020-04-26,14,1,"Albania"
"208",2020-04-27,10,0,"Albania"
"209",2020-04-28,14,2,"Albania"
"210",2020-04-29,16,0,"Albania"
"211",2020-04-30,7,1,"Albania"
"212",2020-05-01,9,0,"Albania"
"213",2020-05-02,7,0,"Albania"
"214",2020-05-03,6,0,"Albania"
"215",2020-05-04,8,0,"Albania"
"216",2020-05-05,17,0,"Albania"
"217",2020-05-06,12,0,"Albania"
"218",2020-05-07,10,0,"Albania"
"219",2020-05-08,8,0,"Albania"
"220",2020-05-09,6,0,"Albania"
"221",2020-05-10,12,0,"Albania"
"222",2020-05-11,4,0,"Albania"
"223",2020-01-22,0,0,"Algeria"
"224",2020-01-23,0,0,"Algeria"
"225",2020-01-24,0,0,"Algeria"
"226",2020-01-25,0,0,"Algeria"
"227",2020-01-26,0,0,"Algeria"
"228",2020-01-27,0,0,"Algeria"
"229",2020-01-28,0,0,"Algeria"
"230",2020-01-29,0,0,"Algeria"
"231",2020-01-30,0,0,"Algeria"
"232",2020-01-31,0,0,"Algeria"
"233",2020-02-01,0,0,"Algeria"
"234",2020-02-02,0,0,"Algeria"
"235",2020-02-03,0,0,"Algeria"
"236",2020-02-04,0,0,"Algeria"
"237",2020-02-05,0,0,"Algeria"
"238",2020-02-06,0,0,"Algeria"
"239",2020-02-07,0,0,"Algeria"
"240",2020-02-08,0,0,"Algeria"
"241",2020-02-09,0,0,"Algeria"
"242",2020-02-10,0,0,"Algeria"
"243",2020-02-11,0,0,"Algeria"
"244",2020-02-12,0,0,"Algeria"
"245",2020-02-13,0,0,"Algeria"
"246",2020-02-14,0,0,"Algeria"
"247",2020-02-15,0,0,"Algeria"
"248",2020-02-16,0,0,"Algeria"
"249",2020-02-17,0,0,"Algeria"
"250",2020-02-18,0,0,"Algeria"
"251",2020-02-19,0,0,"Algeria"
"252",2020-02-20,0,0,"Algeria"
"253",2020-02-21,0,0,"Algeria"
"254",2020-02-22,0,0,"Algeria"
"255",2020-02-23,0,0,"Algeria"
"256",2020-02-24,0,0,"Algeria"
"257",2020-02-25,1,0,"Algeria"
"258",2020-02-26,0,0,"Algeria"
"259",2020-02-27,0,0,"Algeria"
"260",2020-02-28,0,0,"Algeria"
"261",2020-02-29,0,0,"Algeria"
"262",2020-03-01,0,0,"Algeria"
"263",2020-03-02,2,0,"Algeria"
"264",2020-03-03,2,0,"Algeria"
"265",2020-03-04,7,0,"Algeria"
"266",2020-03-05,0,0,"Algeria"
"267",2020-03-06,5,0,"Algeria"
"268",2020-03-07,0,0,"Algeria"
"269",2020-03-08,2,0,"Algeria"
"270",2020-03-09,1,0,"Algeria"
"271",2020-03-10,0,0,"Algeria"
"272",2020-03-11,0,0,"Algeria"
"273",2020-03-12,4,1,"Algeria"
"274",2020-03-13,2,1,"Algeria"
"275",2020-03-14,11,1,"Algeria"
"276",2020-03-15,11,1,"Algeria"
"277",2020-03-16,6,0,"Algeria"
"278",2020-03-17,6,0,"Algeria"
"279",2020-03-18,14,3,"Algeria"
"280",2020-03-19,13,2,"Algeria"
"281",2020-03-20,3,2,"Algeria"
"282",2020-03-21,49,4,"Algeria"
"283",2020-03-22,62,2,"Algeria"
"284",2020-03-23,29,0,"Algeria"
"285",2020-03-24,34,2,"Algeria"
"286",2020-03-25,38,2,"Algeria"
"287",2020-03-26,65,4,"Algeria"
"288",2020-03-27,42,1,"Algeria"
"289",2020-03-28,45,3,"Algeria"
"290",2020-03-29,57,2,"Algeria"
"291",2020-03-30,73,4,"Algeria"
"292",2020-03-31,132,9,"Algeria"
"293",2020-04-01,131,14,"Algeria"
"294",2020-04-02,139,28,"Algeria"
"295",2020-04-03,185,19,"Algeria"
"296",2020-04-04,80,25,"Algeria"
"297",2020-04-05,69,22,"Algeria"
"298",2020-04-06,103,21,"Algeria"
"299",2020-04-07,45,20,"Algeria"
"300",2020-04-08,104,12,"Algeria"
"301",2020-04-09,94,30,"Algeria"
"302",2020-04-10,95,21,"Algeria"
"303",2020-04-11,64,19,"Algeria"
"304",2020-04-12,89,18,"Algeria"
"305",2020-04-13,69,20,"Algeria"
"306",2020-04-14,87,13,"Algeria"
"307",2020-04-15,90,10,"Algeria"
"308",2020-04-16,108,12,"Algeria"
"309",2020-04-17,150,16,"Algeria"
"310",2020-04-18,116,3,"Algeria"
"311",2020-04-19,95,8,"Algeria"
"312",2020-04-20,89,9,"Algeria"
"313",2020-04-21,93,8,"Algeria"
"314",2020-04-22,99,10,"Algeria"
"315",2020-04-23,97,5,"Algeria"
"316",2020-04-24,120,8,"Algeria"
"317",2020-04-25,129,4,"Algeria"
"318",2020-04-26,126,6,"Algeria"
"319",2020-04-27,135,7,"Algeria"
"320",2020-04-28,132,5,"Algeria"
"321",2020-04-29,199,7,"Algeria"
"322",2020-04-30,158,6,"Algeria"
"323",2020-05-01,148,3,"Algeria"
"324",2020-05-02,141,6,"Algeria"
"325",2020-05-03,179,4,"Algeria"
"326",2020-05-04,174,2,"Algeria"
"327",2020-05-05,190,5,"Algeria"
"328",2020-05-06,159,6,"Algeria"
"329",2020-05-07,185,7,"Algeria"
"330",2020-05-08,187,5,"Algeria"
"331",2020-05-09,189,6,"Algeria"
"332",2020-05-10,165,8,"Algeria"
"333",2020-05-11,168,5,"Algeria"
"334",2020-01-22,0,0,"Andorra"
"335",2020-01-23,0,0,"Andorra"
"336",2020-01-24,0,0,"Andorra"
"337",2020-01-25,0,0,"Andorra"
"338",2020-01-26,0,0,"Andorra"
"339",2020-01-27,0,0,"Andorra"
"340",2020-01-28,0,0,"Andorra"
"341",2020-01-29,0,0,"Andorra"
"342",2020-01-30,0,0,"Andorra"
"343",2020-01-31,0,0,"Andorra"
"344",2020-02-01,0,0,"Andorra"
"345",2020-02-02,0,0,"Andorra"
"346",2020-02-03,0,0,"Andorra"
"347",2020-02-04,0,0,"Andorra"
"348",2020-02-05,0,0,"Andorra"
"349",2020-02-06,0,0,"Andorra"
"350",2020-02-07,0,0,"Andorra"
"351",2020-02-08,0,0,"Andorra"
"352",2020-02-09,0,0,"Andorra"
"353",2020-02-10,0,0,"Andorra"
"354",2020-02-11,0,0,"Andorra"
"355",2020-02-12,0,0,"Andorra"
"356",2020-02-13,0,0,"Andorra"
"357",2020-02-14,0,0,"Andorra"
"358",2020-02-15,0,0,"Andorra"
"359",2020-02-16,0,0,"Andorra"
"360",2020-02-17,0,0,"Andorra"
"361",2020-02-18,0,0,"Andorra"
"362",2020-02-19,0,0,"Andorra"
"363",2020-02-20,0,0,"Andorra"
"364",2020-02-21,0,0,"Andorra"
"365",2020-02-22,0,0,"Andorra"
"366",2020-02-23,0,0,"Andorra"
"367",2020-02-24,0,0,"Andorra"
"368",2020-02-25,0,0,"Andorra"
"369",2020-02-26,0,0,"Andorra"
"370",2020-02-27,0,0,"Andorra"
"371",2020-02-28,0,0,"Andorra"
"372",2020-02-29,0,0,"Andorra"
"373",2020-03-01,0,0,"Andorra"
"374",2020-03-02,1,0,"Andorra"
"375",2020-03-03,0,0,"Andorra"
"376",2020-03-04,0,0,"Andorra"
"377",2020-03-05,0,0,"Andorra"
"378",2020-03-06,0,0,"Andorra"
"379",2020-03-07,0,0,"Andorra"
"380",2020-03-08,0,0,"Andorra"
"381",2020-03-09,0,0,"Andorra"
"382",2020-03-10,0,0,"Andorra"
"383",2020-03-11,0,0,"Andorra"
"384",2020-03-12,0,0,"Andorra"
"385",2020-03-13,0,0,"Andorra"
"386",2020-03-14,0,0,"Andorra"
"387",2020-03-15,0,0,"Andorra"
"388",2020-03-16,1,0,"Andorra"
"389",2020-03-17,37,0,"Andorra"
"390",2020-03-18,0,0,"Andorra"
"391",2020-03-19,14,0,"Andorra"
"392",2020-03-20,22,0,"Andorra"
"393",2020-03-21,13,0,"Andorra"
"394",2020-03-22,25,1,"Andorra"
"395",2020-03-23,20,0,"Andorra"
"396",2020-03-24,31,0,"Andorra"
"397",2020-03-25,24,0,"Andorra"
"398",2020-03-26,36,2,"Andorra"
"399",2020-03-27,43,0,"Andorra"
"400",2020-03-28,41,0,"Andorra"
"401",2020-03-29,26,3,"Andorra"
"402",2020-03-30,36,2,"Andorra"
"403",2020-03-31,6,4,"Andorra"
"404",2020-04-01,14,2,"Andorra"
"405",2020-04-02,38,1,"Andorra"
"406",2020-04-03,11,1,"Andorra"
"407",2020-04-04,27,1,"Andorra"
"408",2020-04-05,35,1,"Andorra"
"409",2020-04-06,24,3,"Andorra"
"410",2020-04-07,20,1,"Andorra"
"411",2020-04-08,19,1,"Andorra"
"412",2020-04-09,19,2,"Andorra"
"413",2020-04-10,18,1,"Andorra"
"414",2020-04-11,0,0,"Andorra"
"415",2020-04-12,37,3,"Andorra"
"416",2020-04-13,8,0,"Andorra"
"417",2020-04-14,13,2,"Andorra"
"418",2020-04-15,14,2,"Andorra"
"419",2020-04-16,0,0,"Andorra"
"420",2020-04-17,23,2,"Andorra"
"421",2020-04-18,8,0,"Andorra"
"422",2020-04-19,9,1,"Andorra"
"423",2020-04-20,4,1,"Andorra"
"424",2020-04-21,0,0,"Andorra"
"425",2020-04-22,6,0,"Andorra"
"426",2020-04-23,0,0,"Andorra"
"427",2020-04-24,8,3,"Andorra"
"428",2020-04-25,7,0,"Andorra"
"429",2020-04-26,0,0,"Andorra"
"430",2020-04-27,5,0,"Andorra"
"431",2020-04-28,0,1,"Andorra"
"432",2020-04-29,0,1,"Andorra"
"433",2020-04-30,2,0,"Andorra"
"434",2020-05-01,0,1,"Andorra"
"435",2020-05-02,2,1,"Andorra"
"436",2020-05-03,1,1,"Andorra"
"437",2020-05-04,2,0,"Andorra"
"438",2020-05-05,1,1,"Andorra"
"439",2020-05-06,0,0,"Andorra"
"440",2020-05-07,1,1,"Andorra"
"441",2020-05-08,0,0,"Andorra"
"442",2020-05-09,2,1,"Andorra"
"443",2020-05-10,1,0,"Andorra"
"444",2020-05-11,0,0,"Andorra"
"445",2020-01-22,0,0,"Angola"
"446",2020-01-23,0,0,"Angola"
"447",2020-01-24,0,0,"Angola"
"448",2020-01-25,0,0,"Angola"
"449",2020-01-26,0,0,"Angola"
"450",2020-01-27,0,0,"Angola"
"451",2020-01-28,0,0,"Angola"
"452",2020-01-29,0,0,"Angola"
"453",2020-01-30,0,0,"Angola"
"454",2020-01-31,0,0,"Angola"
"455",2020-02-01,0,0,"Angola"
"456",2020-02-02,0,0,"Angola"
"457",2020-02-03,0,0,"Angola"
"458",2020-02-04,0,0,"Angola"
"459",2020-02-05,0,0,"Angola"
"460",2020-02-06,0,0,"Angola"
"461",2020-02-07,0,0,"Angola"
"462",2020-02-08,0,0,"Angola"
"463",2020-02-09,0,0,"Angola"
"464",2020-02-10,0,0,"Angola"
"465",2020-02-11,0,0,"Angola"
"466",2020-02-12,0,0,"Angola"
"467",2020-02-13,0,0,"Angola"
"468",2020-02-14,0,0,"Angola"
"469",2020-02-15,0,0,"Angola"
"470",2020-02-16,0,0,"Angola"
"471",2020-02-17,0,0,"Angola"
"472",2020-02-18,0,0,"Angola"
"473",2020-02-19,0,0,"Angola"
"474",2020-02-20,0,0,"Angola"
"475",2020-02-21,0,0,"Angola"
"476",2020-02-22,0,0,"Angola"
"477",2020-02-23,0,0,"Angola"
"478",2020-02-24,0,0,"Angola"
"479",2020-02-25,0,0,"Angola"
"480",2020-02-26,0,0,"Angola"
"481",2020-02-27,0,0,"Angola"
"482",2020-02-28,0,0,"Angola"
"483",2020-02-29,0,0,"Angola"
"484",2020-03-01,0,0,"Angola"
"485",2020-03-02,0,0,"Angola"
"486",2020-03-03,0,0,"Angola"
"487",2020-03-04,0,0,"Angola"
"488",2020-03-05,0,0,"Angola"
"489",2020-03-06,0,0,"Angola"
"490",2020-03-07,0,0,"Angola"
"491",2020-03-08,0,0,"Angola"
"492",2020-03-09,0,0,"Angola"
"493",2020-03-10,0,0,"Angola"
"494",2020-03-11,0,0,"Angola"
"495",2020-03-12,0,0,"Angola"
"496",2020-03-13,0,0,"Angola"
"497",2020-03-14,0,0,"Angola"
"498",2020-03-15,0,0,"Angola"
"499",2020-03-16,0,0,"Angola"
"500",2020-03-17,0,0,"Angola"
"501",2020-03-18,0,0,"Angola"
"502",2020-03-19,0,0,"Angola"
"503",2020-03-20,1,0,"Angola"
"504",2020-03-21,1,0,"Angola"
"505",2020-03-22,0,0,"Angola"
"506",2020-03-23,1,0,"Angola"
"507",2020-03-24,0,0,"Angola"
"508",2020-03-25,0,0,"Angola"
"509",2020-03-26,1,0,"Angola"
"510",2020-03-27,0,0,"Angola"
"511",2020-03-28,1,0,"Angola"
"512",2020-03-29,2,2,"Angola"
"513",2020-03-30,0,0,"Angola"
"514",2020-03-31,0,0,"Angola"
"515",2020-04-01,1,0,"Angola"
"516",2020-04-02,0,0,"Angola"
"517",2020-04-03,0,0,"Angola"
"518",2020-04-04,2,0,"Angola"
"519",2020-04-05,4,0,"Angola"
"520",2020-04-06,2,0,"Angola"
"521",2020-04-07,1,0,"Angola"
"522",2020-04-08,2,0,"Angola"
"523",2020-04-09,0,0,"Angola"
"524",2020-04-10,0,0,"Angola"
"525",2020-04-11,0,0,"Angola"
"526",2020-04-12,0,0,"Angola"
"527",2020-04-13,0,0,"Angola"
"528",2020-04-14,0,0,"Angola"
"529",2020-04-15,0,0,"Angola"
"530",2020-04-16,0,0,"Angola"
"531",2020-04-17,0,0,"Angola"
"532",2020-04-18,5,0,"Angola"
"533",2020-04-19,0,0,"Angola"
"534",2020-04-20,0,0,"Angola"
"535",2020-04-21,0,0,"Angola"
"536",2020-04-22,1,0,"Angola"
"537",2020-04-23,0,0,"Angola"
"538",2020-04-24,0,0,"Angola"
"539",2020-04-25,0,0,"Angola"
"540",2020-04-26,1,0,"Angola"
"541",2020-04-27,1,0,"Angola"
"542",2020-04-28,0,0,"Angola"
"543",2020-04-29,0,0,"Angola"
"544",2020-04-30,0,0,"Angola"
"545",2020-05-01,3,0,"Angola"
"546",2020-05-02,5,0,"Angola"
"547",2020-05-03,0,0,"Angola"
"548",2020-05-04,0,0,"Angola"
"549",2020-05-05,1,0,"Angola"
"550",2020-05-06,0,0,"Angola"
"551",2020-05-07,0,0,"Angola"
"552",2020-05-08,7,0,"Angola"
"553",2020-05-09,0,0,"Angola"
"554",2020-05-10,2,0,"Angola"
"555",2020-05-11,0,0,"Angola"
"556",2020-01-22,0,0,"Antigua and Barbuda"
"557",2020-01-23,0,0,"Antigua and Barbuda"
"558",2020-01-24,0,0,"Antigua and Barbuda"
"559",2020-01-25,0,0,"Antigua and Barbuda"
"560",2020-01-26,0,0,"Antigua and Barbuda"
"561",2020-01-27,0,0,"Antigua and Barbuda"
"562",2020-01-28,0,0,"Antigua and Barbuda"
"563",2020-01-29,0,0,"Antigua and Barbuda"
"564",2020-01-30,0,0,"Antigua and Barbuda"
"565",2020-01-31,0,0,"Antigua and Barbuda"
"566",2020-02-01,0,0,"Antigua and Barbuda"
"567",2020-02-02,0,0,"Antigua and Barbuda"
"568",2020-02-03,0,0,"Antigua and Barbuda"
"569",2020-02-04,0,0,"Antigua and Barbuda"
"570",2020-02-05,0,0,"Antigua and Barbuda"
"571",2020-02-06,0,0,"Antigua and Barbuda"
"572",2020-02-07,0,0,"Antigua and Barbuda"
"573",2020-02-08,0,0,"Antigua and Barbuda"
"574",2020-02-09,0,0,"Antigua and Barbuda"
"575",2020-02-10,0,0,"Antigua and Barbuda"
"576",2020-02-11,0,0,"Antigua and Barbuda"
"577",2020-02-12,0,0,"Antigua and Barbuda"
"578",2020-02-13,0,0,"Antigua and Barbuda"
"579",2020-02-14,0,0,"Antigua and Barbuda"
"580",2020-02-15,0,0,"Antigua and Barbuda"
"581",2020-02-16,0,0,"Antigua and Barbuda"
"582",2020-02-17,0,0,"Antigua and Barbuda"
"583",2020-02-18,0,0,"Antigua and Barbuda"
"584",2020-02-19,0,0,"Antigua and Barbuda"
"585",2020-02-20,0,0,"Antigua and Barbuda"
"586",2020-02-21,0,0,"Antigua and Barbuda"
"587",2020-02-22,0,0,"Antigua and Barbuda"
"588",2020-02-23,0,0,"Antigua and Barbuda"
"589",2020-02-24,0,0,"Antigua and Barbuda"
"590",2020-02-25,0,0,"Antigua and Barbuda"
"591",2020-02-26,0,0,"Antigua and Barbuda"
"592",2020-02-27,0,0,"Antigua and Barbuda"
"593",2020-02-28,0,0,"Antigua and Barbuda"
"594",2020-02-29,0,0,"Antigua and Barbuda"
"595",2020-03-01,0,0,"Antigua and Barbuda"
"596",2020-03-02,0,0,"Antigua and Barbuda"
"597",2020-03-03,0,0,"Antigua and Barbuda"
"598",2020-03-04,0,0,"Antigua and Barbuda"
"599",2020-03-05,0,0,"Antigua and Barbuda"
"600",2020-03-06,0,0,"Antigua and Barbuda"
"601",2020-03-07,0,0,"Antigua and Barbuda"
"602",2020-03-08,0,0,"Antigua and Barbuda"
"603",2020-03-09,0,0,"Antigua and Barbuda"
"604",2020-03-10,0,0,"Antigua and Barbuda"
"605",2020-03-11,0,0,"Antigua and Barbuda"
"606",2020-03-12,0,0,"Antigua and Barbuda"
"607",2020-03-13,1,0,"Antigua and Barbuda"
"608",2020-03-14,0,0,"Antigua and Barbuda"
"609",2020-03-15,0,0,"Antigua and Barbuda"
"610",2020-03-16,0,0,"Antigua and Barbuda"
"611",2020-03-17,0,0,"Antigua and Barbuda"
"612",2020-03-18,0,0,"Antigua and Barbuda"
"613",2020-03-19,0,0,"Antigua and Barbuda"
"614",2020-03-20,0,0,"Antigua and Barbuda"
"615",2020-03-21,0,0,"Antigua and Barbuda"
"616",2020-03-22,0,0,"Antigua and Barbuda"
"617",2020-03-23,2,0,"Antigua and Barbuda"
"618",2020-03-24,0,0,"Antigua and Barbuda"
"619",2020-03-25,0,0,"Antigua and Barbuda"
"620",2020-03-26,4,0,"Antigua and Barbuda"
"621",2020-03-27,0,0,"Antigua and Barbuda"
"622",2020-03-28,0,0,"Antigua and Barbuda"
"623",2020-03-29,0,0,"Antigua and Barbuda"
"624",2020-03-30,0,0,"Antigua and Barbuda"
"625",2020-03-31,0,0,"Antigua and Barbuda"
"626",2020-04-01,0,0,"Antigua and Barbuda"
"627",2020-04-02,2,0,"Antigua and Barbuda"
"628",2020-04-03,6,0,"Antigua and Barbuda"
"629",2020-04-04,0,0,"Antigua and Barbuda"
"630",2020-04-05,0,0,"Antigua and Barbuda"
"631",2020-04-06,0,0,"Antigua and Barbuda"
"632",2020-04-07,4,1,"Antigua and Barbuda"
"633",2020-04-08,0,1,"Antigua and Barbuda"
"634",2020-04-09,0,0,"Antigua and Barbuda"
"635",2020-04-10,0,0,"Antigua and Barbuda"
"636",2020-04-11,2,0,"Antigua and Barbuda"
"637",2020-04-12,0,0,"Antigua and Barbuda"
"638",2020-04-13,2,0,"Antigua and Barbuda"
"639",2020-04-14,0,0,"Antigua and Barbuda"
"640",2020-04-15,0,0,"Antigua and Barbuda"
